filename_tud,index_Rh,index_donor_max,index_donor_min,element_Rh,element_donor_max,element_donor_min,distance_pi_bond_1,distance_pi_bond_1_element_1,distance_pi_bond_1_element_2,distance_pi_bond_1_element_1_idx,distance_pi_bond_1_element_2_idx,distance_pi_bond_2,distance_pi_bond_2_element_1,distance_pi_bond_2_element_2,distance_pi_bond_2_element_1_idx,distance_pi_bond_2_element_2_idx,dihedral_angle_1,dihedral_angle_1_element_1,dihedral_angle_1_element_2,dihedral_angle_1_element_3,dihedral_angle_1_element_4,dihedral_angle_1_index_1,dihedral_angle_1_index_2,dihedral_angle_1_index_3,dihedral_angle_1_index_4,dihedral_angle_2,dihedral_angle_2_element_1,dihedral_angle_2_element_2,dihedral_angle_2_element_3,dihedral_angle_2_element_4,dihedral_angle_2_index_1,dihedral_angle_2_index_2,dihedral_angle_2_index_3,dihedral_angle_2_index_4,NE_quad,NW_quad,SW_quad,SE_quad,"+,+,+_octant","-,+,+_octant","-,-,+_octant","+,-,+_octant","+,-,-_octant","-,-,-_octant","-,+,-_octant","+,+,-_octant",bite_angle,cone_angle,distance_Rh_max_donor_xyz,distance_Rh_min_donor_xyz,buried_volume_Rh_3.5A,buried_volume_donor_max,buried_volume_donor_min,buried_volume_Rh_4A,buried_volume_Rh_5A,buried_volume_Rh_6A,buried_volume_Rh_7A,dispersion_p_int_Rh_gfn2_xtb,dispersion_p_int_donor_max_gfn2_xtb,dispersion_p_int_donor_min_gfn2_xtb,sasa_gfn2_xtb,ip_gfn2_xtb,dipole_gfn2_xtb,ea_gfn2_xtb,electrofugality_gfn2_xtb,nucleofugality_gfn2_xtb,nucleophilicity_gfn2_xtb,electrophilicity_gfn2_xtb,HOMO_LUMO_gap_gfn2_xtb
L1,30,14,1,Rh,P,P,1.3904901463584702,C,C,94,91,1.3882045788211477,C,C,93,90,-1.4414562970737734,P,Rh,C,H,1,30,85,89,-4.820775272577394,P,Rh,C,H,14,30,85,88,0.337444424836192,0.389011914859703,0.40615838281254446,0.3433819301731156,0.008772479121955107,0.15476224361419308,0.07877014510739314,0.05193467036313851,0.6661163705504289,0.6232615861052129,0.607993715238838,0.7603820952619504,92.5387913231409,220.87139104252114,2.300571138045507,2.314091552656247,0.5145126723816623,0.8852963101006336,0.9104139489377563,0.5114789584755757,0.4878906373182807,0.4448138237561794,0.3690254919931915,53.43972439759657,62.33278193648587,65.84115259301431,813.8634568623587,3.0908146108285433,1.9503164978149454,4.814417180862622,3.4654826089457824,0.4062508172546163,-3.0908146108285433,0.3746679981172386,0.06709608266601128
L10,28,27,22,Rh,P,P,1.3912116563007229,C,C,92,89,1.394866546940244,C,C,91,88,-12.772709192559997,P,Rh,C,H,27,28,83,86,-14.260402870595811,P,Rh,C,H,22,28,83,87,0.3029323192704212,0.4046725832987026,0.41948503668957043,0.3103385459658551,0.05615866744846667,0.19420708971154993,0.08786710918064705,0.061117025213049986,0.5497059710923757,0.6151380768858553,0.5328099827510631,0.7778530481660908,93.86734373954836,236.06664300230273,2.4068162378195805,2.3231010631623414,0.5436719623555721,0.9436323611628774,0.9107808423406635,0.5482938675439141,0.5254939137838605,0.4556295070071205,0.3593386199711948,54.27932454898219,66.158538198773,63.75916937884369,856.448788217086,3.7780545533036403,4.475617106369752,5.448333277735642,4.5333080801927865,0.15292024915350397,-3.7780545533036403,0.7552535268891462,0.06687605816097025
L11,28,27,22,Rh,P,P,1.3912116563007229,C,C,106,103,1.394866546940244,C,C,105,102,-12.772709192559997,P,Rh,C,H,27,28,97,100,-14.260402870595811,P,Rh,C,H,22,28,97,101,0.3029323192704212,0.4394693247866654,0.46993960025731085,0.31213744499410806,0.05615866744846667,0.21638592076874472,0.08807773976306904,0.11010856014072398,0.5497059710923757,0.662552728804586,0.536197150225147,0.8297706403738977,93.86734373954836,239.01526611937692,2.4068162378195805,2.3231010631623414,0.5436719623555721,0.9436323611628774,0.9107808423406635,0.5484490410278692,0.5301551512093595,0.4691652682661345,0.3811118448392661,55.06632899405579,67.0303347872703,64.80208735488748,892.3632208418769,3.053692718218187,1.1485012999420297,4.802173709500464,3.4192794945709366,0.4094130668522862,-3.053692718218187,0.36558677635275044,0.06874073524643359
L12,28,22,27,Rh,P,P,1.3912116563007229,C,C,80,77,1.394866546940244,C,C,79,76,-12.772709192559997,P,Rh,C,H,27,28,71,74,-14.260402870595811,P,Rh,C,H,22,28,71,75,0.3781445153504152,0.310059602762107,0.3029323192704212,0.35617631487564255,0.06219294899893546,0.08786710918064705,0.13424568634259917,0.05615866744846667,0.694096081701895,0.532252096343567,0.578106943408686,0.5497059710923757,93.86734373954836,234.141921335686,2.3231010631623414,2.4068162378195805,0.5318964312336937,0.8840500372717107,0.9393635855385762,0.5344213580783316,0.5108046103875626,0.43953013742119823,0.33679972447242734,50.79531589163762,57.75319118974627,61.631905465574036,720.844018620684,3.1410141033856256,1.2196070831458024,4.707060925153395,3.484481448315642,0.482406419776622,-3.1410141033856256,0.343467344930017,0.06911019005119964
L13,14,1,2,Rh,P,P,1.3913363807354424,C,C,106,103,1.3872841739362562,C,C,105,102,-16.00624128296182,P,Rh,C,H,2,14,97,100,-7.098550086232428,P,Rh,C,H,1,14,97,101,0.57824641501056,0.3670465607441522,0.40704644688978325,0.4783847480687453,0.2912622464605523,0.18281026738698528,0.27414424209993,0.08469057228898516,0.8652305835605677,0.551282854101319,0.6826252540375606,0.7294023214905814,88.12070125516357,238.18391583958544,2.3162639485004726,2.3020179665098186,0.5834362187849422,0.9568463473723444,0.8951791371598956,0.5855083483334368,0.5760757308189587,0.5358326908249808,0.45765613703511837,62.3559942215784,76.67206684640578,57.915378719823444,948.2552163846361,3.3322843517839402,2.2238047248312913,5.391120040225485,4.006547829758061,0.1291434377486349,-3.3322843517839402,0.6742634779741199,0.06665477128521533
L14,30,1,14,Rh,P,P,1.3904901463584702,C,C,114,111,1.3882045788211477,C,C,113,110,-1.4414562970737734,P,Rh,C,H,1,30,105,109,-4.820775272577394,P,Rh,C,H,14,30,105,108,0.45735015341876206,0.3804045245726192,0.39116376243147394,0.4583435327872119,0.09928100966054319,0.19961517223319653,0.20756789989923888,0.07116467326642492,0.8154192971769809,0.5611938769120418,0.7091191656751848,0.7111628515965229,92.5387913231409,229.1676408228887,2.314091552656247,2.300571138045507,0.5233588799850913,0.9059238725307491,0.8876607342527022,0.5235553348643783,0.5125094604395951,0.4812780624971654,0.42186601617870584,55.07600939802177,67.03652441307553,61.09124634966206,1043.2839571770724,3.0650444056537394,0.5453888061240706,5.128993241593546,3.568690610663945,0.2206529634166598,-3.0650444056537394,0.5036462050102061,0.06605509082600594
L15,14,1,2,Rh,P,P,1.3904901463584702,C,C,82,79,1.3882045788211477,C,C,81,78,-1.4414562970737734,P,Rh,C,H,1,14,73,77,-4.820775272577394,P,Rh,C,H,2,14,73,76,0.36936349715079436,0.3998366189806618,0.3735476452070157,0.3433790838138937,0.07455753345895265,0.1711401945771164,0.12512595139556992,0.04251891405702966,0.6641694608426362,0.6285330433842072,0.5616322162322174,0.7045763763570018,92.5387913231409,221.72025476270113,2.314091552656247,2.300571138045507,0.527680068952665,0.8792862467387254,0.9163424804323519,0.5275665694246168,0.5072589164643184,0.45769422649553265,0.3715986007298065,52.052114824254986,57.72872334721919,58.018130320787265,793.0949705683454,3.209416181620403,0.22859002764176828,5.106733785080256,3.7198959134118823,0.24974594671122416,-3.209416181620403,0.5104797317914801,0.067185825971321
L16,28,22,27,Rh,P,P,1.3877222630771013,C,C,86,83,1.387722272170299,C,C,85,82,27.184800007775927,P,Rh,C,H,22,28,77,81,27.18479825901732,P,Rh,C,H,27,28,77,80,0.3830402532121164,0.3769775080694284,0.3267848095501044,0.3371455571178905,0.11767418295258535,0.21214484552808505,0.1020476708242487,0.04978851550981141,0.6484063234716474,0.5418101706107717,0.5722434434115323,0.6037811035903975,91.38830715635012,248.02205035060487,2.347952955372263,2.4243284456643543,0.6100971393961983,0.9571782985464032,0.893507733879985,0.6080899695859971,0.5613135032007821,0.4649882080819992,0.35604253599221236,51.93473689539388,67.02968194264946,51.423196848325695,749.5642924870943,3.5769088502835586,0.8771159198065717,5.175459901827399,4.164282088080084,0.2579133359691263,-3.5769088502835586,0.5873732377965247,0.036454983990575646
L17,49,1,2,Rh,P,P,1.3877222641699896,C,C,93,90,1.3877222641699896,C,C,92,89,-3.236490034568467e-07,P,Rh,C,H,1,49,84,87,2.425367458924976e-06,P,Rh,C,H,2,49,84,88,0.48822176553969826,0.40245526946482757,0.374173844235838,0.39287727068306927,0.27463950860454395,0.17907015136938342,0.17213072758634432,0.17761850816620461,0.7018040224748525,0.6258403875602716,0.6136238137797942,0.5707291803054713,103.18376645582744,241.63598870643253,2.3424474295061564,2.3437826392393983,0.5728254286246739,0.897293142005218,0.8782612746925084,0.5854191235801626,0.5779658478130617,0.5106524105401605,0.4144683285609377,53.1911878527682,66.03281343627978,51.26598961721688,878.2857080967111,3.8941865021087647,1.4656830337092155,5.631800515254168,4.774960261195901,0.09497324383296785,-3.8941865021087647,0.8807737590871362,0.04221063063984676
L18,28,22,27,Rh,P,P,1.3972179227377302,C,C,92,89,1.3802030725102648,C,C,91,88,-26.920799757210045,P,Rh,C,H,27,28,83,86,-24.097633557893122,P,Rh,C,H,22,28,83,87,0.3906144151016435,0.40426555392996816,0.4066792665501558,0.3028099258238787,0.08376265918263949,0.18251424602790572,0.06279068443553851,0.14925738487900128,0.6974661710206475,0.6260168618320306,0.5428291672122189,0.6641011482213102,90.38146434755649,239.0334984330915,2.4477265390353553,2.2954980117166293,0.6017459467014536,0.9595252515840477,0.9397712448751397,0.6039351995531004,0.5727093910630381,0.48672728921946573,0.376039632705806,62.25417772118826,74.63262423223331,59.5181185038205,749.564244677998,3.432286224825333,0.7229453248838369,5.083991609744982,3.959434664708645,0.28915683013832966,-3.432286224825333,0.5271484398833113,0.06643363081099177
L19,43,21,34,Rh,P,P,1.3877222716432476,C,C,121,118,1.3877222652754093,C,C,120,117,9.87404403060573,P,Rh,C,H,21,43,112,116,-1.219701180376631e-06,P,Rh,C,H,34,43,112,115,0.5687196506947962,0.5252215890654264,0.39350346971189154,0.33076686610156947,0.2995451517963373,0.2742808673425821,0.16386490040589086,0.2957765721865162,0.8378941495932553,0.7761623107882707,0.49766883179724813,0.4912303672372669,127.46215897552192,274.2644994008291,2.5068850451147044,2.299999996728,0.5950894521058516,0.877416837495341,0.897747390980246,0.6076671218422196,0.601321308063448,0.5507721438613996,0.4545649909201141,57.65671686319286,58.750498305809415,64.16181225327918,891.1223714209927,4.0278457324413335,0.7868514952609352,5.029295572196929,4.60443175513817,0.3932904504999072,-4.0278457324413335,0.5765860226968365,0.025733064988702037
L2,28,27,22,Rh,P,P,1.392435350518244,C,C,86,83,1.388874614350039,C,C,85,82,-14.645697638621275,P,Rh,C,H,27,28,77,80,-6.935352120614982,P,Rh,C,H,22,28,77,81,0.2970745119917114,0.3817195425331459,0.38969219471374167,0.33121943721785463,0.08063735675697217,0.12826263925812492,0.11206685528540444,0.16638108195806744,0.5135116672264507,0.6351764458081668,0.5503720191503049,0.6130033074694159,93.60203116629698,242.24599457400873,2.3624717496464225,2.3807436345363246,0.5681489936638092,0.9246820257174805,0.885453550130451,0.5684509031096766,0.53445373845038,0.45098643929429905,0.35002390941746414,53.61388944685143,54.96502485670787,52.72867116700053,759.754340115104,3.1274842424068607,1.6883667823081916,4.8249446610337055,3.5105944226480443,0.40416551920747806,-3.1274842424068607,0.38311018024118343,0.06283391878152397
L20,14,1,2,Rh,P,P,1.387722267006329,C,C,118,115,1.387722269222638,C,C,117,114,-1.7760690699577943e-06,P,Rh,C,H,2,14,109,112,37.07428254340828,P,Rh,C,H,1,14,109,113,0.5816022725332028,0.5815282671934328,0.3901931539367995,0.4108833391209304,0.4863289366571219,0.4612866682226764,0.06958209753903781,0.11620546159407502,0.6768756084092837,0.7017698661641893,0.7521845807028229,0.664180846279524,98.46271143797603,255.66106803340577,2.1858546234759073,2.204961099349828,0.7175503168095415,0.9285198471859858,0.9158824077525158,0.7105355036931289,0.6704436157800132,0.5972923942128895,0.49110512743150236,63.591592768981684,58.809429928037126,62.25759710011275,927.885563981971,3.624144523685402,0.14704986875883297,5.41343891037106,4.342621125101,0.15103769104453846,-3.624144523685402,0.718476601415598,0.05133157444852454
L3,28,27,22,Rh,P,P,1.387722266727106,C,C,106,103,1.3877222665486855,C,C,105,102,-1.9434742757580827e-06,P,Rh,C,H,27,28,97,100,4.1647099008152716e-08,P,Rh,C,H,22,28,97,101,0.3557749782253519,0.41513010708003395,0.4209509116888588,0.4004144299027115,0.07328805724597667,0.0958653785942401,0.11685443149667259,0.16040372759203703,0.6382618992047272,0.7343948355658277,0.6839744283087503,0.6814980957856805,96.95415624651855,248.58319831605039,2.3190064812328575,2.2425408402078215,0.6219425549757734,0.9390025158404771,0.9100470555348491,0.6120313760784557,0.568048153637539,0.497283323506735,0.39808681964898696,55.174373090488544,61.06391158242765,56.80409832774252,795.2320306831391,3.058566764933359,1.3178764237705667,4.633444517464207,3.368085165911838,0.5220738835142716,-3.058566764933359,0.3095184009784789,0.05957514883108567
L4,28,22,27,Rh,P,P,1.38772226576755,C,C,94,91,1.3877222657675503,C,C,93,90,-1.5088569235540682e-06,P,Rh,C,H,27,28,85,88,-6.930504247255935e-08,P,Rh,C,H,22,28,85,89,0.45620876337077243,0.3686205973938735,0.36321251487222694,0.35746002288472817,0.169745478558376,0.24939230230612025,0.09299055578010167,0.11129264557704241,0.7426720481831688,0.4878488924816268,0.6219294899893546,0.6151323841674115,94.01419553422579,250.93044014751354,2.2179675184044063,2.1455881923794236,0.5869129705553485,0.9048872530749161,0.8980443999254566,0.5782772639811309,0.5439240326700514,0.4810274842396481,0.386382590528455,49.67415860181059,63.39417194927277,57.80163793599791,817.3733279815403,3.325804569542221,1.031684763813103,5.0731418227184095,3.835033432832406,0.2820870405717746,-3.325804569542221,0.509228863290184,0.062728067679827
L5,30,1,14,Rh,P,P,1.3904901463584702,C,C,94,91,1.3882045788211477,C,C,93,90,-1.4414562970737734,P,Rh,C,H,1,30,85,89,-4.820775272577394,P,Rh,C,H,14,30,85,88,0.40615838281254446,0.3804045245726192,0.39116376243147394,0.404868982085015,0.05193467036313851,0.19961517223319653,0.15498995235194662,0.07116467326642492,0.7603820952619504,0.5611938769120418,0.6547480118180835,0.7111628515965229,92.5387913231409,223.94408539126547,2.314091552656247,2.300571138045507,0.5233588799850913,0.9059238725307491,0.8876607342527022,0.5234932654707963,0.508291681120116,0.4681210032201007,0.3957193603661556,53.99713950345471,65.6535353503946,60.300430189998806,907.0149439717201,3.1266261343584656,0.9772171389082702,5.117274042548459,3.632068424879338,0.23416824797241328,-3.1266261343584656,0.5054422905208722,0.06598383808690911
L6,30,1,14,Rh,P,P,1.3904901463584702,C,C,106,103,1.3882045788211477,C,C,105,102,-1.4414562970737734,P,Rh,C,H,1,30,97,101,-4.820775272577394,P,Rh,C,H,14,30,97,100,0.5059802007252523,0.34910880492761714,0.337444424836192,0.49106243204317357,0.15781923341853435,0.07936788054399617,0.24739415813233293,0.008772479121955107,0.8541411680319704,0.618849729311238,0.7347307059540142,0.6661163705504289,92.5387913231409,230.88770349743115,2.314091552656247,2.300571138045507,0.5145126723816623,0.9104139489377563,0.8852963101006336,0.5135039724411893,0.5034570023020403,0.47942423692684477,0.42086125137336833,54.6184508747364,67.17524641601742,63.341947736345865,958.7444230168884,4.201942055983098,5.751963643879044,5.850280851528044,5.261496024870218,0.055273117359076016,-4.201942055983098,1.05955396888712,0.06335850337931115
L7,30,14,1,Rh,P,P,1.3904901463584702,C,C,114,111,1.3882045788211477,C,C,113,110,-1.4414562970737734,P,Rh,C,H,1,30,105,109,-4.820775272577394,P,Rh,C,H,14,30,105,108,0.337444424836192,0.4435993920176702,0.45805605050579806,0.3433819301731156,0.008772479121955107,0.20734019116148533,0.07877014510739314,0.10091481985392486,0.6661163705504289,0.6798585928738551,0.607993715238838,0.8151972811576712,92.5387913231409,227.16656041892332,2.300571138045507,2.314091552656247,0.5145126723816623,0.8852963101006336,0.9104139489377563,0.5115410278691577,0.4921537479108196,0.45836886026577167,0.3956254305118323,54.552421965880704,63.29408371132736,67.22600718357847,960.4923808762952,3.030856420762893,1.549116520302781,4.847070653382364,3.410115157548212,0.37818808340295507,-3.030856420762893,0.37925873678531874,0.06710575979966527
L8,30,1,14,Rh,P,P,1.3913363807354424,C,C,106,103,1.3872841739362562,C,C,105,102,-16.00624128296182,P,Rh,C,H,14,30,97,100,-7.098550086232428,P,Rh,C,H,1,30,97,101,0.5501443104125513,0.35704445443832794,0.4076128723749452,0.47200890341164625,0.2521760416251573,0.17113450185867257,0.18883316350056642,0.08469057228898516,0.8481125791999453,0.5429544070179833,0.7551846433227261,0.7305351724609053,88.12070125516357,235.9217245978824,2.3162639485004726,2.3020179665098186,0.51356340849795,0.9191262113306001,0.8868512392843831,0.517379430202967,0.5236313897385765,0.5033074062315751,0.446778775268554,53.40530316551834,65.1581890992635,57.12669751332921,1012.016560487734,4.125216768080126,5.361511298697583,5.975234885627683,5.277145554050972,0.022693900343162585,-4.125216768080126,1.1519287859708451,0.06238431299761954
L9,28,22,27,Rh,P,P,1.38772226576755,C,C,98,95,1.3877222657675503,C,C,97,94,-1.5088569235540682e-06,P,Rh,C,H,27,28,89,92,-6.930504247255935e-08,P,Rh,C,H,22,28,89,93,0.4653142665216921,0.3212714117372469,0.2917603593243882,0.34983747288842837,0.1789619897189505,0.1022412232513392,0.08318200190136796,0.0994005567478638,0.7516665433244337,0.5403016002231545,0.6164929438754888,0.48412016190091256,94.01419553422579,261.44218572090045,2.2179675184044063,2.1455881923794236,0.5796741054789415,0.9332836377189713,0.941524180022363,0.577392775122587,0.5458575100122985,0.4648328722391038,0.3570707832611307,48.593279313313836,64.01713981116201,0.0,750.202777384255,2.9958413852546704,1.1613330432943851,4.442409461757439,3.242932833364988,0.6506819863528792,-2.9958413852546704,0.24709144811031802,0.06792877726085422
